InvoiceNumber;Customer;IssueDate;DueDate;Amount;Currency
INV-2026-0142;Meridian Logistics;2026-07-20;2026-08-03;1200,00;EUR
INV-2026-0143;Baker & Sons;2026-07-21;2026-08-04;1200,00;EUR
INV-2026-0144;Delta Retail BV;2026-07-22;2026-08-05;1200,00;EUR
INV-2026-0150;Brightside Retail;2026-07-25;2026-08-08;890,00;EUR
INV-2026-0145;Nordwind Supplies GmbH;2026-07-23;2026-08-06;100,00;EUR
INV-2026-0146;Nordwind Supplies GmbH;2026-07-23;2026-08-06;200,00;EUR
INV-2026-0147;Kestrel Design Studio;2026-07-24;2026-08-07;500,00;EUR
INV-2026-0148;ACME Consulting;2026-07-26;2026-08-09;400,00;EUR
INV-2026-0151;Halvorsen AS;2026-08-01;2026-09-01;1450,00;EUR
INV-2026-0152;Pinewood Interiors;2026-07-10;2026-07-24;2350,00;EUR
INV-2026-0153;Solvang Foods;2026-08-12;2026-09-12;640,00;EUR
