Date;Description;Amount;Currency
2026-08-03;SEPA CREDIT MERIDIAN LOGISTICS REF INV-2026-0142;1200,00;EUR
2026-08-04;WIRE BAKER AND SONS RE 2026/0143 PAYMENT;1188,50;EUR
2026-08-05;TRANSFER DELTA RETAIL INVOICE 2026-0144 PART;500,00;EUR
2026-08-06;INCOMING Brightside Retail Ltd August services;890,00;EUR
2026-08-07;NORDWIND SUPPLIES GMBH SAMMELUEBERWEISUNG;300,00;EUR
2026-08-10;KESTREL DESIGN STUDIO instalment 1 of 2;250,00;EUR
2026-08-11;CARD PAYMENT OFFICE SUPPLIES;-84,20;EUR
2026-08-14;KESTREL DESIGN STUDIO instalment 2 of 2;250,00;EUR
2026-08-17;SEPA CREDIT ACME CONSULTING monthly retainer;400,00;EUR
2026-08-17;SEPA CREDIT ACME CONSULTING monthly retainer;400,00;EUR
2026-08-18;REFUND FROM COURIER SERVICE;75,00;EUR
2026-08-19;TRANSFER HALVORSEN AS INV 2026-0151;1450,00;EUR
2026-08-20;DIRECT DEBIT RENT AUGUST;-2100,00;EUR
